dest_ip,dest_port,dest_country,metadata_file
51.75.126.150,14602,France,socks4.txt
185.14.149.33,4145,Poland,socks4.txt
54.36.176.100,12550,France,socks4.txt
192.95.33.162,36308,Canada,socks4.txt
54.36.176.100,29077,France,socks4.txt
178.32.202.54,49864,France,socks4.txt
82.114.68.42,5678,Kosovo,socks4.txt
187.44.211.118,4153,Brazil,socks4.txt
212.5.132.74,5678,Bulgaria,socks4.txt
193.106.57.96,5678,Ukraine,socks4.txt
182.253.159.7,5678,Indonesia,socks4.txt
92.119.74.228,5678,Spain,socks4.txt
72.207.109.5,4145,United States,socks4.txt
192.95.33.162,31572,Canada,socks4.txt
192.95.33.162,2887,Canada,socks4.txt
103.41.32.250,51951,India,socks4.txt
82.223.165.28,44432,Spain,socks4.txt
103.48.183.113,4145,India,socks4.txt
82.223.165.28,9526,Spain,socks4.txt
168.228.71.251,4153,Brazil,socks4.txt
82.223.165.28,8352,Spain,socks4.txt
201.218.189.209,4153,Brazil,socks4.txt
91.223.52.141,5678,Poland,socks4.txt
93.123.98.80,5678,Bulgaria,socks4.txt
5.23.104.251,1080,Russia,socks4.txt
27.147.137.90,2005,Bangladesh,socks4.txt
89.238.233.50,60606,Romania,socks4.txt
37.238.168.253,5678,Iraq,socks4.txt
80.78.70.253,65530,Albania,socks4.txt
80.78.73.148,65530,Albania,socks4.txt
190.242.59.158,4145,Colombia,socks4.txt
184.181.178.33,4145,United States,socks4.txt
98.190.239.3,4145,United States,socks4.txt
103.206.129.150,60606,India,socks4.txt
38.51.243.173,5678,Colombia,socks4.txt
186.148.227.68,1085,Argentina,socks4.txt
186.148.227.230,1085,Argentina,socks4.txt
109.106.196.250,4145,Russia,socks4.txt
103.81.194.163,8888,Indonesia,socks4.txt
177.184.67.21,4145,Brazil,socks4.txt
46.151.142.89,5678,Poland,socks4.txt
134.199.159.23,1080,United States,socks4.txt
192.95.33.162,29006,Canada,socks4.txt
192.95.33.162,64840,Canada,socks4.txt
157.66.170.100,1080,Indonesia,socks4.txt
114.5.12.238,33000,Indonesia,socks4.txt
198.177.252.24,4145,United States,socks4.txt
198.177.254.131,4145,United States,socks4.txt
140.238.30.184,8082,Germany,socks4.txt
198.177.254.157,4145,United States,socks4.txt
94.136.190.22,8080,India,socks4.txt
157.10.97.12,1080,Indonesia,socks4.txt
103.155.167.217,1080,Indonesia,socks4.txt
206.42.24.248,4153,Brazil,socks4.txt
45.168.244.16,1080,Brazil,socks4.txt
89.250.148.158,1080,Russia,socks4.txt
198.177.253.13,4145,United States,socks4.txt
46.98.184.203,5678,Ukraine,socks4.txt
45.117.29.169,10888,India,socks4.txt
175.6.130.18,9292,China,socks4.txt
103.109.193.204,48293,Indonesia,socks4.txt
193.233.133.104,1080,France,socks4.txt
190.53.46.11,45535,Nicaragua,socks4.txt
24.199.103.116,42206,United States,socks4.txt
186.203.163.53,5678,Brazil,socks4.txt
45.191.13.6,4153,Brazil,socks4.txt
103.81.194.165,5555,Indonesia,socks4.txt
223.205.189.164,5678,Thailand,socks4.txt
116.105.95.101,12413,Vietnam,socks4.txt
105.214.77.107,5678,South Africa,socks4.txt
105.214.75.107,5678,South Africa,socks4.txt
103.50.7.242,60606,India,socks4.txt
27.75.157.37,1080,Vietnam,socks4.txt
171.250.220.119,1080,Vietnam,socks4.txt
105.214.109.98,5678,South Africa,socks4.txt
105.214.93.216,5678,South Africa,socks4.txt
200.8.185.126,4145,Venezuela,socks4.txt
195.182.192.205,1085,Ukraine,socks4.txt
46.98.193.59,5678,Ukraine,socks4.txt
105.214.28.69,5678,South Africa,socks4.txt
223.205.176.162,5678,Thailand,socks4.txt
45.91.92.45,30363,United States,socks4.txt
223.206.53.34,4145,Thailand,socks4.txt
103.249.200.31,1207,United Kingdom,socks4.txt
5.161.104.22,8888,United States,https.txt
5.161.72.12,8888,United States,https.txt
134.209.108.22,8888,Singapore,https.txt
134.209.108.84,8888,Singapore,https.txt
134.209.108.165,8888,Singapore,https.txt
134.209.108.167,8888,Singapore,https.txt
84.17.47.150,9002,The Netherlands,https.txt
84.17.47.149,9002,The Netherlands,https.txt
84.17.47.148,9002,The Netherlands,https.txt
84.17.47.147,9002,The Netherlands,https.txt
84.17.47.146,9002,The Netherlands,https.txt
84.17.47.126,9002,The Netherlands,https.txt
84.17.47.125,9002,The Netherlands,https.txt
84.17.47.124,9002,The Netherlands,https.txt
5.161.42.38,8888,United States,https.txt
178.128.221.182,8888,Singapore,https.txt
134.209.99.88,8888,Singapore,https.txt
192.248.152.39,8888,United Kingdom,https.txt
155.138.144.61,8888,Canada,https.txt
192.248.155.67,8888,United Kingdom,https.txt
155.138.149.154,8888,Canada,https.txt
155.138.151.230,8888,Canada,https.txt
155.138.130.128,8888,Canada,https.txt
45.63.97.57,8888,United Kingdom,https.txt
155.138.159.63,8888,Canada,https.txt
193.176.84.16,9002,Romania,https.txt
193.176.84.19,9002,Romania,https.txt
193.176.84.20,9002,Romania,https.txt
193.176.84.21,9002,Romania,https.txt
193.176.84.22,9002,Romania,https.txt
193.176.84.23,9002,Romania,https.txt
45.77.187.120,8888,United States,https.txt
65.108.150.56,8443,Finland,https.txt
102.223.20.217,443,Ghana,https.txt
194.67.91.153,443,Russia,https.txt
138.197.102.119,443,United States,https.txt
129.151.160.199,443,South Africa,https.txt
197.243.20.178,443,Rwanda,https.txt
202.61.204.51,443,Germany,https.txt
91.121.88.53,443,France,https.txt
31.28.4.192,443,Russia,https.txt
167.99.124.118,443,United States,https.txt
4.188.236.47,443,India,https.txt
78.28.152.111,443,Bosnia and Herzegovina,https.txt
95.179.197.240,8888,United Kingdom,https.txt
103.37.111.253,10086,Japan,https.txt
78.28.152.113,443,Bosnia and Herzegovina,https.txt
206.81.26.113,443,Germany,https.txt
23.88.59.163,443,Germany,https.txt
95.179.232.127,8888,United Kingdom,https.txt
